timestamp,zone_temp,heating_sp,cooling_sp,outdoor_temp,action,coil_speed
07/05 14:10,25.88,22.00,24.60,28.07,boost_cooling,1.95
07/05 15:10,26.10,22.00,24.60,28.82,boost_cooling,1.95
07/05 16:10,25.96,22.00,24.60,28.20,boost_cooling,1.95
07/05 17:10,24.37,22.00,26.60,26.87,off,0.0
07/05 18:10,24.63,22.00,26.60,25.03,off,0.0
07/05 19:10,25.58,22.00,24.60,24.20,eco_cooling,1.0
07/05 20:10,26.60,22.00,24.60,24.17,boost_cooling,1.95
07/05 21:10,26.60,22.00,24.60,23.93,boost_cooling,1.95
07/05 22:10,25.87,22.00,26.60,23.52,off,0.0
07/05 23:10,24.38,22.00,26.60,22.95,off,0.0
07/06 00:10,26.41,22.00,26.60,22.12,off,0.0
07/06 01:10,26.14,22.00,26.60,21.63,off,0.0
07/06 02:10,26.27,22.00,26.60,21.23,off,0.0
07/06 03:10,25.90,22.00,26.60,20.87,off,0.0
07/06 04:10,25.52,22.00,26.60,20.68,off,0.0
07/06 05:10,25.19,22.00,26.60,20.55,off,0.0
07/06 06:10,24.80,22.00,26.60,20.32,off,0.0
07/06 07:10,25.04,22.00,26.60,20.57,off,0.0
07/06 08:10,26.10,22.00,26.60,21.82,off,0.0
07/06 09:10,25.78,22.00,24.60,24.23,boost_cooling,1.95
07/06 10:10,25.89,22.00,24.60,26.17,boost_cooling,1.95
07/06 11:10,26.04,22.00,24.60,27.73,boost_cooling,1.95
07/06 12:10,26.01,22.00,24.60,29.08,boost_cooling,1.95
07/06 13:10,26.11,22.00,24.60,30.08,boost_cooling,1.95
07/06 14:10,25.89,22.00,24.60,30.62,boost_cooling,1.95
07/06 15:10,26.59,22.00,24.60,31.08,boost_cooling,1.95
07/06 16:10,24.46,22.00,26.60,30.42,off,0.0
07/06 17:10,25.41,22.00,24.60,29.82,eco_cooling,1.0
07/06 18:10,25.87,22.00,24.60,28.73,boost_cooling,1.95
07/06 19:10,25.90,22.00,24.60,27.80,boost_cooling,1.95
07/06 20:10,25.90,22.00,24.60,27.15,boost_cooling,1.95
07/06 21:10,25.98,22.00,24.60,26.23,boost_cooling,1.95
07/06 22:10,26.60,22.00,24.60,25.28,boost_cooling,1.95
07/06 23:10,26.42,22.00,26.60,24.62,off,0.0
07/07 00:10,26.45,22.00,26.60,24.12,off,0.0
07/07 01:10,26.60,22.00,24.60,23.62,boost_cooling,1.95
07/07 02:10,26.60,22.00,24.60,23.12,boost_cooling,1.95
07/07 03:10,24.93,22.00,26.60,22.62,off,0.0
07/07 04:10,26.57,22.00,26.60,22.15,off,0.0
07/07 05:10,26.33,22.00,26.60,21.85,off,0.0
07/07 06:10,26.01,22.00,26.60,21.58,off,0.0
07/07 07:10,25.76,22.00,26.60,21.62,off,0.0
07/07 08:10,24.66,22.00,24.60,22.42,eco_cooling,1.0
07/07 09:10,24.85,22.00,24.60,23.72,eco_cooling,1.0
07/07 10:10,26.59,22.00,24.60,24.87,boost_cooling,1.95
07/07 11:10,26.60,22.00,24.60,25.32,boost_cooling,1.95
07/07 12:10,26.09,22.00,24.60,26.12,boost_cooling,1.95
07/07 13:10,26.02,22.00,24.60,27.32,boost_cooling,1.95
07/07 14:10,25.01,22.00,26.60,28.05,off,0.0
07/07 15:10,24.38,22.00,26.60,28.70,off,0.0
07/07 16:10,25.63,22.00,26.60,27.95,off,0.0
07/07 17:10,25.98,22.00,24.60,25.75,boost_cooling,1.95
07/07 18:10,23.72,22.00,26.60,21.05,off,0.0
07/07 19:10,26.48,22.00,26.60,21.30,off,0.0
07/07 20:10,24.48,22.00,26.60,21.35,off,0.0
07/07 21:10,25.03,22.00,26.60,21.63,off,0.0
07/07 22:10,26.57,22.00,26.60,21.80,off,0.0
07/07 23:10,26.30,22.00,26.60,21.78,off,0.0
